parameter,DXY,EEM
alpha[1],0.036739 (0.004433),0.096203 (0.012169)
beta[1],0.960298 (0.004620),0.890411 (0.013366)
nu,10.153000 (1.463853),8.742274 (1.134617)
omega,0.000746 (0.000319),0.038261 (0.009396)
