asset,p,d,q,order,aic,bic,llf,converged,selected_in_nb02,estimator,error,aic_rank,bic_rank
EEM,0,0,2,"(0, 0, 2)",-21765.732293072197,-21683.256817440782,10895.866146536098,False,False,pmdarima.ARIMA,,23.0,2.0
EEM,0,0,3,"(0, 0, 3)",-21767.09464293574,-21678.27489994806,10897.54732146787,False,False,pmdarima.ARIMA,,19.0,7.0
EEM,0,0,4,"(0, 0, 4)",-21772.192134819554,-21677.028124475615,10901.096067409777,False,False,pmdarima.ARIMA,,2.0,9.0
EEM,0,0,5,"(0, 0, 5)",-21771.18643143129,-21669.67815373109,10901.593215715646,False,False,pmdarima.ARIMA,,4.0,15.0
EEM,1,0,0,"(1, 0, 0)",-21751.902401279403,-21675.771193004253,10887.951200639702,False,False,pmdarima.ARIMA,,34.0,12.0
EEM,1,0,1,"(1, 0, 1)",-21768.257474046848,-21685.781998415434,10897.128737023424,False,False,pmdarima.ARIMA,,16.0,1.0
EEM,1,0,2,"(1, 0, 2)",-21770.00144420396,-21681.181701216283,10899.00072210198,True,False,pmdarima.ARIMA,,8.0,5.0
EEM,1,0,3,"(1, 0, 3)",-21765.3895674299,-21670.22555708596,10897.69478371495,False,False,pmdarima.ARIMA,,26.0,14.0
EEM,1,0,4,"(1, 0, 4)",-21772.747292282776,-21671.239014582574,10902.373646141388,False,False,pmdarima.ARIMA,,1.0,13.0
EEM,1,0,5,"(1, 0, 5)",-21769.10964912843,-21661.257104071963,10901.554824564215,False,False,pmdarima.ARIMA,,13.0,21.0
EEM,2,0,0,"(2, 0, 0)",-21760.764187598652,-21678.288711967238,10893.382093799326,True,False,pmdarima.ARIMA,,32.0,6.0
EEM,2,0,1,"(2, 0, 1)",-21770.989911321973,-21682.170168334294,10899.494955660986,False,True,pmdarima.ARIMA,,6.0,3.0
EEM,2,0,2,"(2, 0, 2)",-21717.94979108026,-21622.78578073632,10873.97489554013,True,False,pmdarima.ARIMA,,36.0,36.0
EEM,2,0,3,"(2, 0, 3)",-21768.095350262134,-21666.58707256193,10900.047675131067,False,False,pmdarima.ARIMA,,17.0,19.0
EEM,2,0,4,"(2, 0, 4)",-21771.147836190703,-21663.295291134236,10902.573918095351,False,False,pmdarima.ARIMA,,5.0,20.0
EEM,2,0,5,"(2, 0, 5)",-21769.251440788525,-21655.054628375798,10902.625720394262,False,False,pmdarima.ARIMA,,11.0,26.0
EEM,3,0,0,"(3, 0, 0)",-21765.213899978582,-21676.394156990904,10896.606949989291,False,False,pmdarima.ARIMA,,27.0,10.0
EEM,3,0,1,"(3, 0, 1)",-21763.699138199867,-21668.53512785593,10896.849569099933,False,False,pmdarima.ARIMA,,29.0,16.0
EEM,3,0,2,"(3, 0, 2)",-21760.93483294399,-21659.426555243786,10896.467416471995,False,False,pmdarima.ARIMA,,31.0,23.0
EEM,3,0,3,"(3, 0, 3)",-21762.508803201494,-21654.656258145027,10898.254401600747,True,False,pmdarima.ARIMA,,30.0,28.0
EEM,3,0,4,"(3, 0, 4)",-21768.995836371498,-21654.79902395877,10902.497918185749,False,False,pmdarima.ARIMA,,14.0,27.0
EEM,3,0,5,"(3, 0, 5)",-21766.647053797475,-21646.105974028484,10902.323526898737,False,False,pmdarima.ARIMA,,21.0,32.0
EEM,4,0,0,"(4, 0, 0)",-21771.256921978835,-21676.092911634896,10900.628460989417,True,False,pmdarima.ARIMA,,3.0,11.0
EEM,4,0,1,"(4, 0, 1)",-21769.265474469372,-21667.75719676917,10900.632737234686,False,False,pmdarima.ARIMA,,10.0,18.0
EEM,4,0,2,"(4, 0, 2)",-21765.39114382295,-21657.538598766485,10899.695571911476,False,False,pmdarima.ARIMA,,25.0,24.0
EEM,4,0,3,"(4, 0, 3)",-21770.421156996847,-21656.22434458412,10903.210578498423,False,False,pmdarima.ARIMA,,7.0,25.0
EEM,4,0,4,"(4, 0, 4)",-21766.726673107405,-21646.185593338414,10902.363336553703,False,False,pmdarima.ARIMA,,20.0,31.0
EEM,4,0,5,"(4, 0, 5)",-21768.31604121074,-21641.430694085488,10904.15802060537,False,False,pmdarima.ARIMA,,15.0,33.0
EEM,5,0,0,"(5, 0, 0)",-21769.98302906035,-21668.474751360147,10900.991514530175,False,False,pmdarima.ARIMA,,9.0,17.0
EEM,5,0,1,"(5, 0, 1)",-21767.573663150622,-21659.721118094156,10900.786831575311,False,False,pmdarima.ARIMA,,18.0,22.0
EEM,5,0,2,"(5, 0, 2)",-21765.443610813403,-21651.246798400676,10900.721805406702,False,False,pmdarima.ARIMA,,24.0,29.0
EEM,5,0,3,"(5, 0, 3)",-21769.186123948166,-21648.645044179175,10903.593061974083,False,False,pmdarima.ARIMA,,12.0,30.0
EEM,5,0,4,"(5, 0, 4)",-21763.93843297397,-21637.05308584872,10901.969216486985,True,False,pmdarima.ARIMA,,28.0,34.0
EEM,5,0,5,"(5, 0, 5)",-21766.55540988298,-21633.325795401466,10904.27770494149,False,False,pmdarima.ARIMA,,22.0,35.0
