asset_panel,variable,canonical,nobs,mean,std,skewness,kurtosis,min,max,thesis_label,min_max
DXY,HG=F,Copper,5263,0.00025879021305912813,0.01779560115057823,-0.6069348635974455,11.113634623968947,-0.251712046899755,0.1244371105177899,Copper (HG=F),-0.25 / 0.12
DXY,^TNX,TNX,5263,3.899942442710536e-05,0.02573325125694007,0.20461855207891375,31.720852430575448,-0.3470090740656968,0.404796890846223,10Y Treasury (^TNX),-0.35 / 0.40
DXY,GC=F,Gold,5263,0.00044567333592809334,0.01156644905553022,-0.5443491584872594,7.114662318002734,-0.1206569177115754,0.0864316566603035,Gold (GC=F),-0.12 / 0.09
DXY,CL=F,WTI Oil,5263,0.00024339235114265745,0.02622975983220697,0.0750678499442928,18.14033372022545,-0.2822061341074851,0.3196336300150674,WTI crude (CL=F),-0.28 / 0.32
DXY,EURUSD=X,EUR/USD,5263,4.579937674412484e-06,0.0070310905208346665,0.5873956728906103,103.84689801342616,-0.1433236378744118,0.159631874406008,EUR/USD (EURUSD=X),-0.14 / 0.16
DXY,GBPUSD=X,GBP/USD,5263,-6.937885323307477e-05,0.0058748480449618105,-0.6891263186340016,9.563723244112186,-0.0790847722880897,0.0348483202948787,GBP/USD (GBPUSD=X),-0.08 / 0.03
DXY,CAD=X,USD/CAD,5263,2.7417359486391425e-05,0.005363186263780759,0.2018403466595928,3.5558328661738097,-0.0369460607432358,0.0359844155919337,USD/CAD (CAD=X),-0.04 / 0.04
DXY,^GSPC,S&P 500,5263,0.0003350886713175061,0.012097657011358873,-0.4770928439815858,13.215520799472968,-0.1276521974728174,0.1095719675953384,S&P 500 (^GSPC),-0.13 / 0.11
EEM,^VIX,VIX,5258,0.00010134766122256423,0.07594528095995158,1.0375143279633994,6.524774229532649,-0.4424487591644147,0.7682450294663026,CBOE Volatility (^VIX),-0.44 / 0.77
EEM,JPY=X,USD/JPY,5258,7.71548978994092e-05,0.007369589589693584,-0.587679849044524,109.70368060646548,-0.1684706181522538,0.1628851465249108,USD/JPY (JPY=X),-0.17 / 0.16
