asset,feature,ridge_coefficient,ridge_abs_coefficient,lasso_coefficient,lasso_abs_coefficient,lasso_nonzero,ridge_alpha,lasso_alpha,target_scaled,coefficient_units
DXY,target_lag1,-0.03161019824911649,0.03161019824911649,-0.0,0.0,False,657.9332246575682,0.02310129700083159,True,standardized_y
DXY,target_lag2,-0.01280989921358458,0.01280989921358458,-0.0,0.0,False,657.9332246575682,0.02310129700083159,True,standardized_y
DXY,target_lag3,-0.018146610137680125,0.018146610137680125,-0.0,0.0,False,657.9332246575682,0.02310129700083159,True,standardized_y
DXY,target_lag5,-0.004519909142216676,0.004519909142216676,-0.0,0.0,False,657.9332246575682,0.02310129700083159,True,standardized_y
DXY,EEM,-0.06018071395241064,0.06018071395241064,-0.0400500603341898,0.0400500603341898,True,657.9332246575682,0.02310129700083159,True,standardized_y
DXY,HG=F,0.01725767400717346,0.01725767400717346,0.0,0.0,False,657.9332246575682,0.02310129700083159,True,standardized_y
DXY,^TNX,0.04748530841618172,0.04748530841618172,0.02487733827733196,0.02487733827733196,True,657.9332246575682,0.02310129700083159,True,standardized_y
DXY,GC=F,-0.0062849776059320074,0.0062849776059320074,-0.0,0.0,False,657.9332246575682,0.02310129700083159,True,standardized_y
DXY,CL=F,-0.0043715240705456465,0.0043715240705456465,-0.0,0.0,False,657.9332246575682,0.02310129700083159,True,standardized_y
DXY,EURUSD=X,-0.01620641106530009,0.01620641106530009,-0.0,0.0,False,657.9332246575682,0.02310129700083159,True,standardized_y
DXY,GBPUSD=X,-0.0358549472495717,0.0358549472495717,-0.019501678379912082,0.019501678379912082,True,657.9332246575682,0.02310129700083159,True,standardized_y
DXY,CAD=X,0.008516741968670156,0.008516741968670156,0.0,0.0,False,657.9332246575682,0.02310129700083159,True,standardized_y
DXY,^GSPC,-0.07431569226575126,0.07431569226575126,-0.07054217260231506,0.07054217260231506,True,657.9332246575682,0.02310129700083159,True,standardized_y
DXY,vol_21,0.05678257897833422,0.05678257897833422,0.0,0.0,False,657.9332246575682,0.02310129700083159,True,standardized_y
DXY,vol_63,-0.047622182623459984,0.047622182623459984,-0.0,0.0,False,657.9332246575682,0.02310129700083159,True,standardized_y
EEM,target_lag1,-0.0004447069272846657,0.0004447069272846657,-0.0,0.0,False,7390.722033525791,0.0012618568830660211,False,raw_y
EEM,target_lag2,-0.00027414062029841715,0.00027414062029841715,-0.0,0.0,False,7390.722033525791,0.0012618568830660211,False,raw_y
EEM,target_lag3,0.00023264396374866788,0.00023264396374866788,0.0,0.0,False,7390.722033525791,0.0012618568830660211,False,raw_y
EEM,target_lag5,-7.050049352190941e-05,7.050049352190941e-05,-0.0,0.0,False,7390.722033525791,0.0012618568830660211,False,raw_y
EEM,DX-Y.NYB,1.239382975100482e-06,1.239382975100482e-06,-0.0,0.0,False,7390.722033525791,0.0012618568830660211,False,raw_y
EEM,^VIX,0.0002455818522352643,0.0002455818522352643,0.0,0.0,False,7390.722033525791,0.0012618568830660211,False,raw_y
EEM,^TNX,-0.0003728248361035574,0.0003728248361035574,-0.0,0.0,False,7390.722033525791,0.0012618568830660211,False,raw_y
EEM,CL=F,-0.00025806740438647955,0.00025806740438647955,-0.0,0.0,False,7390.722033525791,0.0012618568830660211,False,raw_y
EEM,HG=F,1.8217900488331374e-05,1.8217900488331374e-05,-0.0,0.0,False,7390.722033525791,0.0012618568830660211,False,raw_y
EEM,GC=F,4.542795749098423e-06,4.542795749098423e-06,0.0,0.0,False,7390.722033525791,0.0012618568830660211,False,raw_y
EEM,^GSPC,-0.0008942678162900556,0.0008942678162900556,-0.0020356096915403396,0.0020356096915403396,True,7390.722033525791,0.0012618568830660211,False,raw_y
EEM,CAD=X,1.0300424199656975e-06,1.0300424199656975e-06,0.0,0.0,False,7390.722033525791,0.0012618568830660211,False,raw_y
EEM,JPY=X,-0.00038821205502827976,0.00038821205502827976,-0.0,0.0,False,7390.722033525791,0.0012618568830660211,False,raw_y
EEM,vol_21,-7.538649288817237e-05,7.538649288817237e-05,-0.0,0.0,False,7390.722033525791,0.0012618568830660211,False,raw_y
EEM,vol_63,5.028299405645463e-05,5.028299405645463e-05,0.0,0.0,False,7390.722033525791,0.0012618568830660211,False,raw_y
