asset,mean_model,parameter,estimate,std_error,t_stat,p_value,table,estimate_se
DXY,"ARX(5)+GARCH(1,1)",omega,0.0006821683097508177,0.0002918146174230134,2.337676966887334,0.01940401189903596,B.3,0.000682 (0.000292)
DXY,"ARX(5)+GARCH(1,1)",alpha[1],0.035485695866782296,0.004187069113902764,8.475068096907076,2.3494206760003538e-17,B.3,0.035486 (0.004187)
DXY,"ARX(5)+GARCH(1,1)",beta[1],0.9616784284130815,0.004358045728043269,220.66735606394568,0.0,B.3,0.961678 (0.004358)
DXY,"ARX(5)+GARCH(1,1)",nu,11.018990240140301,1.7679332372230088,6.23269590058075,4.5847564744561324e-10,B.3,11.018990 (1.767933)
EEM,"ARX(5)+GARCH(1,1)",omega,0.03720782618721925,0.009276242421911413,4.0110881642474805,6.043953340115461e-05,B.3,0.037208 (0.009276)
EEM,"ARX(5)+GARCH(1,1)",alpha[1],0.09779518651845578,0.012364930408213504,7.909076985463222,2.5930422923707223e-15,B.3,0.097795 (0.012365)
EEM,"ARX(5)+GARCH(1,1)",beta[1],0.8893301799492892,0.013545090514327578,65.65701270202537,0.0,B.3,0.889330 (0.013545)
EEM,"ARX(5)+GARCH(1,1)",nu,8.384953113428704,1.0738288078618439,7.808463557728926,5.7889327423798524e-15,B.3,8.384953 (1.073829)
