asset,table,mean_model_order,parameter,estimate,std_error,t_stat,p_value,estimate_se
DXY,B.1,"(0, 0, 0)",omega,0.0007457714061841795,0.0003186409369648589,2.3404758135845753,0.019259185808850682,0.000746 (0.000319)
DXY,B.1,"(0, 0, 0)",alpha[1],0.036739418522473276,0.004433471245996561,8.286829097098371,1.1630757193240085e-16,0.036739 (0.004433)
DXY,B.1,"(0, 0, 0)",beta[1],0.960298373321902,0.004620469036863169,207.83569063236217,0.0,0.960298 (0.004620)
DXY,B.1,"(0, 0, 0)",nu,10.152999596923287,1.4638530050763525,6.935805413326812,4.039132542966359e-12,10.153000 (1.463853)
EEM,B.1,"(2, 0, 1)",omega,0.03826117089265728,0.009396185386776723,4.0719897828434,4.6613224514524745e-05,0.038261 (0.009396)
EEM,B.1,"(2, 0, 1)",alpha[1],0.09620252771323909,0.012168617499324744,7.905789438987421,2.662408808982192e-15,0.096203 (0.012169)
EEM,B.1,"(2, 0, 1)",beta[1],0.8904112470139278,0.013365641218945231,66.61941858440787,0.0,0.890411 (0.013366)
EEM,B.1,"(2, 0, 1)",nu,8.742273773310062,1.13461661759392,7.705046478033276,1.3079567825874382e-14,8.742274 (1.134617)
