asset,mean_model_order,parameter,estimate,std_error,t_stat,p_value,estimate_se
DXY,"(0, 0, 0)",omega,0.0007457714061841795,0.0003186409369648589,2.3404758135845753,0.019259185808850682,0.000746 (0.000319)
DXY,"(0, 0, 0)",alpha[1],0.036739418522473276,0.004433471245996561,8.286829097098371,1.1630757193240085e-16,0.036739 (0.004433)
DXY,"(0, 0, 0)",beta[1],0.960298373321902,0.004620469036863169,207.83569063236217,0.0,0.960298 (0.004620)
DXY,"(0, 0, 0)",nu,10.152999596923287,1.4638530050763525,6.935805413326812,4.039132542966359e-12,10.153000 (1.463853)
EEM,"(2, 0, 1)",omega,0.03826082573456716,0.00939609127157537,4.0719938353847285,4.6612413322556675e-05,0.038261 (0.009396)
EEM,"(2, 0, 1)",alpha[1],0.0962024592303358,0.012168572829399541,7.905812832702002,2.6619088097201426e-15,0.096202 (0.012169)
EEM,"(2, 0, 1)",beta[1],0.8904115041268283,0.01336556760134858,66.619804761377,0.0,0.890412 (0.013366)
EEM,"(2, 0, 1)",nu,8.742230240733242,1.1345793370234192,7.705261285357598,1.3057584743697201e-14,8.742230 (1.134579)
