asset,model,ar_lag,aic,delta_aic
DXY,"ARX(5)+GARCH(1,1)",5,4918.289038218563,0.0
DXY,"ARX(3)+GARCH(1,1)",3,4918.71000318002,0.4209649614567752
DXY,"ARX(1)+GARCH(1,1)",1,4919.248062915991,0.9590246974275942
EEM,"ARX(5)+GARCH(1,1)",5,14716.026741018512,0.0
EEM,"ARX(4)+GARCH(1,1)",4,14720.498570992215,4.471829973703279
EEM,"ARX(3)+GARCH(1,1)",3,14723.580604353472,7.553863334960624
