asset,mean_model,parameter,estimate,std_error,t_stat,p_value,table,estimate_se
DXY,"AR(0)+GARCH(1,1)",omega,0.0007467154656553381,0.0003183432271555526,2.345630131124069,0.01899494654333796,B.2,0.000747 (0.000318)
DXY,"AR(0)+GARCH(1,1)",alpha[1],0.036706496263432635,0.004433756363200668,8.278870839202973,1.2434871914873625e-16,B.2,0.036706 (0.004434)
DXY,"AR(0)+GARCH(1,1)",beta[1],0.9603231489262161,0.00461933327914878,207.89215475337556,0.0,B.2,0.960323 (0.004619)
DXY,"AR(0)+GARCH(1,1)",nu,10.145220875475712,1.462545230939888,6.9366886307892175,4.013971771667063e-12,B.2,10.145221 (1.462545)
EEM,"AR(5)+GARCH(1,1)",omega,0.039623900226761655,0.00957161187404617,4.1397311913789085,3.477130217604376e-05,B.2,0.039624 (0.009572)
EEM,"AR(5)+GARCH(1,1)",alpha[1],0.10024696127638304,0.012383660386053631,8.095099360870739,5.721762891070994e-16,B.2,0.100247 (0.012384)
EEM,"AR(5)+GARCH(1,1)",beta[1],0.885968009802052,0.013631219434263098,64.9955063869858,0.0,B.2,0.885968 (0.013631)
EEM,"AR(5)+GARCH(1,1)",nu,8.633666707190523,1.135681201810826,7.6021921410905415,2.9115600426446294e-14,B.2,8.633667 (1.135681)
