Date,target
2005-02-01,0.008530236069062305
2005-02-02,0.0031554202891580173
2005-02-03,-0.0010341341508167741
2005-02-04,0.015500040175302935
2005-02-07,0.003148856245457512
2005-02-08,0.0019328748908907037
2005-02-09,-0.0032391849178612267
2005-02-10,0.004830956427337117
2005-02-11,0.009689243551761702
2005-02-14,0.007134027464909563
2005-02-15,0.00236699134714235
2005-02-16,-0.003077965508399095
2005-02-17,-0.0016614466998324173
2005-02-18,0.01222890141362866
2005-02-22,-0.003667090793360611
2005-02-23,0.004605393937531268
2005-02-24,0.015399349616461003
2005-02-25,0.01825360759977345
2005-02-28,-0.0016789069115350276
2005-03-01,0.0028115017513962513
2005-03-02,-0.01661956022882501
2005-03-03,0.0027584084119190925
2005-03-04,0.011866546312690567
2005-03-07,0.006557603816508119
2005-03-08,-0.007646947173297233
2005-03-09,-0.005739439710642434
2005-03-10,-0.00963970883275044
2005-03-11,-0.0056433797035593996
2005-03-14,-0.007683043529639058
2005-03-15,-0.02522995481550635
2005-03-16,-0.008521448372366137
2005-03-17,0.018062828567631056
2005-03-18,-0.0045209636956954884
2005-03-21,-0.014558109431115008
2005-03-22,-0.01866080333726772
2005-03-23,-0.01275402027898301
2005-03-24,-0.0010990725272458802
2005-03-28,0.006875742656508437
2005-03-29,-0.02621017843660581
2005-03-30,0.02252933752486916
2005-03-31,0.010658191061457128
2005-04-01,0.005899778661876824
2005-04-04,0.0022033460316421972
2005-04-05,-0.0002447615051326264
2005-04-06,0.013605932262181947
2005-04-07,0.010036339188211426
2005-04-08,-0.004741848583170963
2005-04-11,-0.009647749410429103
2005-04-12,0.012524473859623964
2005-04-13,-0.020114588172399146
2005-04-14,-0.02592737897536511
2005-04-15,-0.021276944395148316
2005-04-18,0.01175848005221255
2005-04-19,0.016611425966506416
2005-04-20,-0.023874033566936542
2005-04-21,0.028392468372997567
2005-04-22,-0.011109979863274428
2005-04-25,0.018760684568154027
2005-04-26,-0.01027959019574522
2005-04-27,-0.009082706392113811
2005-04-28,-0.016069681090079384
2005-04-29,0.020022204574625745
2005-05-02,0.006619530544049005
2005-05-03,-0.0009431821001899098
2005-05-04,0.026893199355860847
2005-05-05,0.005254097708909863
2005-05-06,0.0026890879334297312
2005-05-09,0.0009101534644611576
2005-05-10,-0.022724187083406202
2005-05-11,0.00464545205279155
2005-05-12,-0.017221062158652066
2005-05-13,-0.010325817801931663
2005-05-16,0.011813688487935053
2005-05-17,0.0002479145778787372
2005-05-18,0.01971956512588929
2005-05-19,0.003636491842004325
2005-05-20,-0.002519941030653722
2005-05-23,0.0032942409457768535
2005-05-24,-0.002905880607741037
2005-05-25,-0.007204594129703346
2005-05-26,0.011173835261439127
2005-05-27,0.006740058488136877
2005-05-31,-0.00867433489298532
2005-06-01,0.01174099846029563
2005-06-02,0.007577541954819394
2005-06-03,-0.005188508727800901
2005-06-06,0.010019321814354214
2005-06-07,-0.004973664409127383
2005-06-08,-0.0038055472204583836
2005-06-09,0.005229235394890495
2005-06-10,0.00284106267774152
2005-06-13,0.003963298353811813
2005-06-14,0.004089143403686578
2005-06-15,0.007429888874737806
2005-06-16,0.008898704171805048
2005-06-17,0.011971078427221454
2005-06-20,-0.009068013296969862
2005-06-21,-0.0048427314058567695
2005-06-22,0.00938710649497211
2005-06-23,-0.017743599332569047
2005-06-24,-0.0035027865427293783
2005-06-27,0.006295685455897345
2005-06-28,0.007503260200034036
2005-06-29,-0.005830868775651118
2005-06-30,-0.003067835396153937
2005-07-01,0.0036245366654703405
2005-07-05,0.004443152748004678
2005-07-06,-0.004860649642642799
2005-07-07,0.002919369239568484
2005-07-08,0.010357103700528206
2005-07-11,0.015134426528765522
2005-07-12,0.011836984394323891
2005-07-13,-0.000668683396456828
2005-07-14,0.005737950571700414
2005-07-15,-0.005470166889607894
2005-07-18,-0.0030814512099572766
2005-07-19,0.011341591606959212
2005-07-20,0.00013270599399917943
2005-07-21,0.01081941995368426
2005-07-22,-0.0023648388894611954
2005-07-25,-0.008719894944072984
2005-07-26,0.005689656266339389
2005-07-27,0.005395077567194678
2005-07-28,0.012390406866465517
2005-07-29,-0.0006488134280730142
2005-08-01,0.016210340827806317
2005-08-02,0.017583181396787294
2005-08-03,-0.0025105735320588604
2005-08-04,-0.00883885832959663
2005-08-05,-0.018560438646683528
2005-08-08,0.006824263501488984
2005-08-09,0.019946020080608976
2005-08-10,0.01063501216023672
2005-08-11,-0.00561613162370609
2005-08-12,-0.01069522926251237
2005-08-15,0.00693365143336546
2005-08-16,-0.01748860374107927
2005-08-17,0.0006386346053623003
2005-08-18,-0.01856872624416622
2005-08-19,-0.003913088746444059
2005-08-22,0.012337536149538255
2005-08-23,-0.009466873225225197
2005-08-24,-0.01311461432616534
2005-08-25,0.01115845568590029
2005-08-26,-0.0013063488614844616
2005-08-29,0.010920788374943362
2005-08-30,-0.010528943797506959
2005-08-31,0.02056356997969816
2005-09-01,0.013730041092619978
2005-09-02,0.008799750883156186
2005-09-06,0.012438092715406206
2005-09-07,0.0012353425854151725
2005-09-08,-0.0016065558678788148
2005-09-09,0.01460797957486621
2005-09-12,-0.0014633866734405229
2005-09-13,-0.011291409868677776
2005-09-14,-0.003585679663712747
2005-09-15,0.005805276258907333
2005-09-16,0.015276788095653892
2005-09-19,-0.0014566711263801573
2005-09-20,0.0026684871560388973
2005-09-21,0.009404592346823691
2005-09-22,-0.010010422505609051
2005-09-23,-0.0008487581473872342
2005-09-26,0.00881698484435917
2005-09-27,-0.006635842268898776
2005-09-28,0.01131454425136372
2005-09-29,0.01744124354424932
2005-09-30,-0.0016480654825846714
2005-10-03,0.006341752175688746
2005-10-04,-0.009409404956891637
2005-10-05,-0.030841930537422898
2005-10-06,-0.03560511281255262
2005-10-07,0.02445231802780749
2005-10-10,-0.003333282232200466
2005-10-11,0.004318906751266266
2005-10-12,-0.03113729728173706
2005-10-13,-0.006243390609337063
2005-10-14,-0.0038413163509478663
2005-10-17,0.010973225024404542
2005-10-18,-0.025708048334056943
2005-10-19,0.019342813616338533
2005-10-20,-0.041061259376786674
2005-10-21,0.026265484721103623
2005-10-24,0.026603510812249445
2005-10-25,-0.01988632499297366
2005-10-26,0.0035985932740558633
2005-10-27,-0.024019052929955355
2005-10-28,0.025941700565266897
2005-10-31,0.01776669514163593
2005-11-01,0.017456973251936972
2005-11-02,0.015332902649341092
2005-11-03,0.001094830117081464
2005-11-04,-0.0020693975547070435
2005-11-07,0.000731439335416705
2005-11-08,-0.009419920643719402
2005-11-09,0.014883976498550224
2005-11-10,0.0015729977401920073
2005-11-11,0.0021735559147690003
2005-11-14,-0.002657421567755397
2005-11-15,-0.005701437150063123
2005-11-16,0.008479631207423103
2005-11-17,0.014609389112312809
2005-11-18,0.0027302674455561738
2005-11-21,0.0005926501224712117
2005-11-22,-0.0004741746963690004
2005-11-23,0.010494833685963245
2005-11-25,-0.0007041489562345018
2005-11-28,-0.00635861953399988
2005-11-29,-0.008899529241796858
2005-11-30,0.002380665408722437
2005-12-01,0.025822981726105997
2005-12-02,-0.0011592296875506342
2005-12-05,0.008087933650841546
2005-12-06,0.009163657587780242
2005-12-07,-0.009509035298773586
2005-12-08,-0.007510703617813011
2005-12-09,0.010154955268010924
2005-12-12,0.005723970413438263
2005-12-13,0.013042410727104794
2005-12-14,-0.0066698226053877735
2005-12-15,-0.004091864322143578
2005-12-16,-0.003422939641958095
2005-12-19,-0.0022881533342763525
2005-12-20,0.008554306067800008
2005-12-21,0.01611025292181161
2005-12-22,0.00022364675171776015
2005-12-23,0.005947280237303231
2005-12-27,-0.011180838363026687
2005-12-28,0.002722043262802699
2005-12-29,0.00011301364874047022
2005-12-30,-0.0005661732871048148
2006-01-03,0.03671165376703289
2006-01-04,0.009025089779881281
2006-01-05,0.005074601618662884
2006-01-06,0.020679204672026805
2006-01-09,0.009762943164091827
2006-01-10,-0.01208667434038999
2006-01-11,0.01166869728375022
2006-01-12,-0.013997749356250479
2006-01-13,0.0010590585985392302
2006-01-17,-0.017623715344865256
2006-01-18,-0.0005390830949241416
2006-01-19,0.03183296954606049
2006-01-20,-0.030217055491962422
2006-01-23,0.028649186764638436
2006-01-24,0.015568621112203467
2006-01-25,0.0005147612585381603
2006-01-26,0.023399147174115228
2006-01-27,0.011397438997538046
2006-01-30,-0.004683128379866997
2006-01-31,0.006570178690457246
2006-02-01,-0.0004963867402232871
2006-02-02,-0.026048425975874208
2006-02-03,-0.013747907773769203
2006-02-06,0.023482328468521836
2006-02-07,-0.026586255778179885
2006-02-08,0.0031039273096580226
2006-02-09,0.002579207508425774
2006-02-10,-0.001546583684149461
2006-02-13,-0.024973980591538873
2006-02-14,0.024973980591539015
2006-02-15,-0.005173636457623727
2006-02-16,0.025602943747101516
2006-02-17,-0.0013152934780781386
2006-02-21,-0.00884732364171444
2006-02-22,0.005399272085823997
2006-02-23,-0.00030479079126288083
2006-02-24,0.0019290953549232189
2006-02-27,0.009087042292067863
2006-02-28,-0.026377309111237417
2006-03-01,0.02728165276451546
2006-03-02,0.0008029730952387158
2006-03-03,-0.016796732203192048
2006-03-06,-0.01542444479049629
2006-03-07,-0.035868997816048326
2006-03-08,0.005890533596505364
2006-03-09,-0.010196195441696716
2006-03-10,0.020817291257436532
2006-03-13,-0.0010570019837660024
2006-03-14,0.03072392933378528
2006-03-15,0.011522726491256994
2006-03-16,-0.0089621015456242
2006-03-17,0.007033788972068831
2006-03-20,0.0056727687196666335
2006-03-21,-0.020409165311258654
2006-03-22,0.010970950258305258
2006-03-23,-0.009322896555554783
2006-03-24,0.008608814815419918
2006-03-27,0.006103755447605065
2006-03-28,-0.018424272928443522
2006-03-29,0.01893094281001976
2006-03-30,0.005056021796111718
2006-03-31,-0.0015141503322048454
2006-04-03,0.027890103539696474
2006-04-04,0.005876667561313439
2006-04-05,0.010201751629528459
2006-04-06,-0.00513642618250454
2006-04-07,-0.01537214134578656
2006-04-10,-0.0034592626195123527
2006-04-11,-0.008551395006446956
2006-04-12,0.005775069107721259
2006-04-13,0.004754415042109862
2006-04-17,0.011787989374890617
2006-04-18,0.03266404738929842
2006-04-19,0.006124567059529158
2006-04-20,-0.00357617395879788
2006-04-21,0.007794764128704225
2006-04-24,-0.013183160297483051
2006-04-25,-0.013839086594940132
2006-04-26,0.019510643517628216
2006-04-27,-0.015865087236740974
2006-04-28,0.00971976573380315
2006-05-01,-0.00028466104178900587
2006-05-02,0.017489800834874086
2006-05-03,0.0011179544191508909
2006-05-04,0.009729272448159373
2006-05-05,0.0160074644940585
2006-05-08,0.007233455054345679
2006-05-09,0.00090058191316511
2006-05-10,-0.010859864408386849
2006-05-11,-0.025807739827093883
2006-05-12,-0.02649171164757232
2006-05-15,-0.024261499541226497
2006-05-16,0.004997323881244701
2006-05-17,-0.0349095183205607
2006-05-18,-0.01941809955003082
2006-05-19,0.021339043556178456
2006-05-22,-0.04821941938623659
2006-05-23,-0.010979043226589805
2006-05-24,-0.006991177321084956
2006-05-25,0.041646039026087114
2006-05-26,-0.0030068828578427445
2006-05-30,-0.04405057166192856
2006-05-31,0.016680439903881697
2006-06-01,0.020284015406217798
2006-06-02,0.010196659197504893
2006-06-05,-0.043370256246702515
2006-06-06,-0.007378486343002456
2006-06-07,-0.022245293548147967
2006-06-08,-0.017977805839633747
2006-06-09,-0.013124279949029856
2006-06-12,-0.03793030741065983
2006-06-13,-0.022443147067152416
2006-06-14,0.028272584224377333
2006-06-15,0.05661129602150853
2006-06-16,-0.005733260525741102
2006-06-19,-0.03791377155661488
2006-06-20,0.012220182885954903
2006-06-21,0.031875230047911915
2006-06-22,-0.018089891703397618
2006-06-23,-0.0017124901450706392
2006-06-26,0.0
2006-06-27,-0.019037642820228125
2006-06-28,0.030852805774143156
2006-06-29,0.05771053706147319
2006-06-30,0.0010654490275204638
2006-07-03,0.021909579307849276
2006-07-05,-0.031540384669124094
2006-07-06,0.020224412984497384
2006-07-07,-0.019149711096900928
2006-07-10,0.008023612754188935
2006-07-11,0.0047833370004257865
2006-07-12,-0.02252128821798392
2006-07-13,-0.04039236259087443
2006-07-14,0.005068910130970083
2006-07-17,-0.015855235946624517
2006-07-18,0.01383069585092542
2006-07-19,0.059869280773587275
2006-07-20,-0.02915896815641088
2006-07-21,-0.01962577256553796
2006-07-24,0.04400140372152316
2006-07-25,0.002660264222449459
2006-07-26,-0.0042598999941915175
2006-07-27,0.013673615303237848
2006-07-28,0.02124861547954547
2006-07-31,-0.009631122727832162
2006-08-01,-0.016260457608918925
2006-08-02,0.013134065211228245
2006-08-03,-0.0010443967716524684
2006-08-04,0.0020875240523085606
2006-08-07,-0.006276324576302856
2006-08-08,0.0
2006-08-09,0.0037705558941887748
2006-08-10,0.01019259741782851
2006-08-11,-0.01218056773352845
2006-08-14,0.003972086424132377
2006-08-15,0.02422185637259446
2006-08-16,0.009728414786281791
2006-08-17,0.001410617549770881
2006-08-18,-0.009511014061956462
2006-08-21,-0.005198355255052206
2006-08-22,-0.0003067739953056133
2006-08-23,-0.0182603045955531
2006-08-24,-0.0027107112735966356
2006-08-25,0.002815043803191191
2006-08-28,0.01128306845627341
2006-08-29,0.003390954031549123
2006-08-30,0.004299275954789172
2006-08-31,-0.002864011440392808
2006-09-01,0.01110375978055062
2006-09-05,0.0054556291465712
2006-09-06,-0.02913570411403786
2006-09-07,-0.01147641714829822
2006-09-08,0.008151449396512613
2006-09-11,-0.021779918458711127
2006-09-12,0.016980966106802997
2006-09-13,0.014844140245467012
2006-09-14,-0.008277061122605985
2006-09-15,0.00590444588609227
2006-09-18,0.011194818543310595
2006-09-19,-0.01554242344857023
2006-09-20,0.020331182556949417
2006-09-21,-0.024697412267780623
2006-09-22,-0.012792494538919997
2006-09-25,0.011541349384731229
2006-09-26,0.011719159612578998
2006-09-27,-0.0022708742552518878
2006-09-28,0.00802820675741271
2006-09-29,-0.008028206757412762
2006-10-02,-0.0016548792398370087
2006-10-03,-0.0136524484007683
2006-10-04,0.026406191394259326
2006-10-05,0.013198202993517672
2006-10-06,-0.0025250334923773614
2006-10-09,-0.0037479002473989544
2006-10-10,0.008992189145960264
2006-10-11,-0.005345189244555362
2006-10-12,0.02407839983700116
2006-10-13,0.005905417851651856
2006-10-16,0.002743966636465994
2006-10-17,-0.013200567421318537
2006-10-18,0.009769452221887267
2006-10-19,0.004409480184804287
2006-10-20,-0.0047042622646290685
2006-10-23,-0.0008844440024062541
2006-10-24,0.005686431120385629
2006-10-25,0.011566513104197668
2006-10-26,0.00241274482559297
2006-10-27,-0.01681843155806827
2006-10-30,-0.0034375196763204567
2006-10-31,0.019002023811847256
2006-11-01,-0.01008935386107369
2006-11-02,0.003115130781590366
2006-11-03,0.003105624010882649
2006-11-06,0.023463003061799815
2006-11-07,-0.0042686914888588525
2006-11-08,0.002563400876835325
2006-11-09,0.003407678157844889
2006-11-10,0.0014165000409119494
2006-11-13,0.0033909007621320884
2006-11-14,0.015489473095637439
2006-11-15,0.001850556726160488
2006-11-16,-0.010125243187595303
2006-11-17,-0.0011210634800493987
2006-11-20,-0.003933123003953422
2006-11-21,0.0158264557211114
2006-11-22,0.006994399932487271
2006-11-24,-0.00018305884578168123
2006-11-27,-0.019078452928781516
2006-11-28,0.00578034014097133
2006-11-29,0.016046242753483375
2006-11-30,0.004472180048815398
2006-12-01,-0.004106232768039178
2006-12-04,0.020635587513349277
2006-12-05,0.01731812087446322
2006-12-06,-0.0068913155108021595
2006-12-07,-0.003552436976521552
2006-12-08,-0.0044582125660921875
2006-12-11,0.0004467706524270116
2006-12-12,-0.012132178902925554
